               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.015198,            0.017038,           0.0021689,             0.92995,             0.95206,             0.96834,              0.6755,            0.024526,            0.040487,           0.0034955,           0.0093268,           0.0093268,           0.0093268
                  36,            0.016768,            0.016898,           0.0022247,             0.90361,             0.93015,             0.94805,             0.67004,            0.026041,            0.039379,           0.0036253,            0.009307,            0.009307,            0.009307
                  37,            0.016929,            0.016195,           0.0023624,             0.93443,             0.94971,             0.96616,             0.66621,            0.024674,            0.040617,            0.003648,           0.0092872,           0.0092872,           0.0092872
                  38,            0.016204,            0.016307,           0.0022698,             0.90922,             0.95216,             0.96259,             0.64698,            0.025673,            0.040424,           0.0036973,           0.0092674,           0.0092674,           0.0092674
                  39,            0.016048,            0.016323,           0.0023103,             0.91298,             0.95788,             0.96778,             0.65904,            0.025236,            0.040229,           0.0039563,           0.0092476,           0.0092476,           0.0092476
                  40,            0.016498,            0.015997,           0.0023272,             0.93719,             0.96171,             0.96767,             0.67555,            0.024514,            0.040413,           0.0039066,           0.0092278,           0.0092278,           0.0092278
                  41,            0.016312,            0.016161,           0.0024671,             0.90852,             0.93743,              0.9374,             0.62525,            0.026109,            0.041177,           0.0037697,            0.009208,            0.009208,            0.009208
                  42,            0.015614,            0.016618,           0.0022401,             0.92639,             0.96524,             0.97467,             0.66076,            0.024894,            0.040551,           0.0036402,           0.0091882,           0.0091882,           0.0091882
                  43,             0.01592,            0.015482,           0.0025421,             0.90433,             0.93082,             0.93563,             0.65117,            0.024666,            0.041435,           0.0045878,           0.0091684,           0.0091684,           0.0091684
                  44,            0.016762,            0.016223,           0.0025114,             0.93634,             0.94213,             0.93981,             0.66339,             0.02557,            0.041899,           0.0035011,           0.0091486,           0.0091486,           0.0091486
                  45,            0.017098,            0.016444,           0.0025364,             0.93646,             0.93291,             0.94427,             0.64181,             0.02471,             0.04128,           0.0040469,           0.0091288,           0.0091288,           0.0091288
                  46,            0.015648,            0.016051,           0.0023247,             0.90036,             0.93773,             0.94714,             0.64709,            0.025317,            0.042225,           0.0036932,            0.009109,            0.009109,            0.009109
                  47,            0.015508,            0.016274,           0.0024058,             0.90301,             0.93922,             0.94939,             0.64567,            0.024906,            0.041965,           0.0035979,           0.0090892,           0.0090892,           0.0090892
                  48,            0.016606,            0.016068,           0.0023738,             0.93615,             0.93743,             0.94439,             0.65411,            0.024905,            0.041428,           0.0039074,           0.0090694,           0.0090694,           0.0090694
                  49,            0.016185,            0.016318,           0.0023168,             0.90198,             0.94457,             0.94709,             0.66749,            0.024863,            0.040605,           0.0037223,           0.0090496,           0.0090496,           0.0090496
                  50,            0.015817,            0.017312,           0.0021126,             0.91644,              0.9654,             0.95919,              0.6616,            0.025463,            0.040968,           0.0038024,           0.0090298,           0.0090298,           0.0090298
                  51,            0.016157,            0.015782,           0.0022701,             0.91348,             0.95232,             0.97045,             0.66467,            0.024965,            0.041345,            0.003464,             0.00901,             0.00901,             0.00901
                  52,            0.016237,            0.016219,           0.0021914,             0.91369,             0.94313,             0.95352,             0.65837,            0.024952,             0.04014,           0.0034537,           0.0089902,           0.0089902,           0.0089902
                  53,            0.016704,            0.015898,           0.0022253,             0.89457,             0.92637,             0.93264,             0.65784,            0.025421,             0.04085,           0.0034751,           0.0089704,           0.0089704,           0.0089704
                  54,            0.015641,            0.015867,            0.002387,             0.93978,             0.96668,             0.96212,             0.65594,             0.02462,             0.04059,           0.0033556,           0.0089506,           0.0089506,           0.0089506
